unique_id,name,firstname,title,namesuffix,fblink1,fblink2,twlink,isListed,list_place,isDC,constituency,constituency_str,state,renewed_candidacy,party,sex,age,residence,birthplace,profession
1500,Halding-Hoppenheit,Laura,NA,NA,https://www.facebook.com/Laura.Halding.Hoppenheit/,https://www.facebook.com/lauraskingsclub,NA,0,NA,1,285,Rottweil – Tuttlingen,8,0,3,0,1942,Stuttgart,Resita,Gastronomin
1501,Pitterle,Richard,NA,NA,https://www.facebook.com/MdB-Richard-Pitterle-174137581751/,https://www.facebook.com/richard.pitterle,NA,0,NA,1,260,Böblingen,8,1,3,1,1959,Sindelfingen,Most,MdB / Rechtsanwalt
1502,Auerbach,Martin,NA,NA,https://www.facebook.com/martin.auerbach.es,NA,NA,0,NA,1,261,Esslingen,8,0,3,1,1976,Esslingen am Neckar,Backnang,Jugend- und Heimerzieher
1503,Brinker,Heinrich,NA,NA,https://www.facebook.com/HBBaWue,NA,NA,0,NA,1,262,Nürtingen,8,0,3,1,1957,Kirchheim unter Teck,Sögel,kfm. Angestellter
1504,Katevas,Konstantinos,NA,NA,https://www.facebook.com/KKatevas/,NA,https://twitter.com/kkatevas,0,NA,1,263,Göppingen,8,0,3,1,1993,Göppingen,"Thessaloniki, Griechenland",Student
1505,Kubach,Walter,NA,NA,https://www.facebook.com/walter.kubach,NA,https://twitter.com/walterkubach,0,NA,1,266,Neckar-Zaber,8,0,3,1,1955,Mundelsheim,Marbach am Neckar,Sachbearbeiter
1506,Wanner,Konrad,NA,NA,https://www.facebook.com/KonradWannerDieLinkeHeilbronn/,https://www.facebook.com/konrad.wanner.12,NA,0,NA,1,267,Heilbronn,8,0,3,1,1956,Heilbronn,Ludwigsburg,Maschinenbautechniker
1507,Bock,Kai,NA,NA,https://www.facebook.com/kai.bock.dielinke/,https://www.facebook.com/kai.bock.77,https://twitter.com/KaiBockDieLinke,0,NA,1,268,Schwäbisch Hall – Hohenlohe,8,0,3,1,1974,Zweiflingen,Sangerhausen,Servicetechniker
1508,Huska,Klaus,NA,NA,https://www.facebook.com/klaus.huska.5,NA,NA,0,NA,1,272,Karlsruhe-Land,8,0,3,1,1975,Pfinztal,Karlsruhe,Dipl.-Ingenieur
1509,Maßon,Norbert,NA,NA,NA,NA,NA,0,NA,1,273,Rastatt,8,0,3,1,1957,Elchesheim-Illingen,Illingen,Elektroinstallateurmeister
1510,Grüning,Rolf,NA,NA,NA,NA,NA,0,NA,1,276,Odenwald – Tauber,8,0,3,1,1959,Tauberbischofsheim,Crailsheim,Rechtsanwalt
1511,Wenzel,Peter,NA,NA,NA,NA,NA,0,NA,1,279,Pforzheim,8,0,3,1,1954,Keltern,Bad Nenndorf,Busfahrer
1512,Müllner,Lorena,NA,NA,https://www.facebook.com/LorenaMuellner/,https://www.facebook.com/lole.heart.3,NA,0,NA,1,280,Calw,8,0,3,0,1998,Altensteig,Nagold,Pflegehelferin FSJ
1513,Trunz,David,NA,NA,https://www.facebook.com/david.trunz,NA,NA,0,NA,1,282,Lörrach – Müllheim,8,0,3,1,1986,Weil am Rhein,Freiburg im Breisgau,Student
1514,Pschorr,Simon,NA,NA,https://www.facebook.com/simon.pschorr/,https://www.facebook.com/simon.pschorr.7,NA,0,NA,1,287,Konstanz,8,0,3,1,1992,Konstanz,Regensburg,Rechtsreferendar
1515,Schuchmann,Lothar,Dr.,NA,NA,NA,NA,0,NA,1,288,Waldshut,8,0,3,1,1940,Freiburg,Freiburg im Breisgau,Kinderarzt
1516,Heidenreich,Ralph,NA,NA,https://www.facebook.com/ralph.heidenreich.92,NA,https://twitter.com/RHeidenreich_BC,0,NA,1,292,Biberach,8,0,3,1,1957,Biberach an der Riß,Düsseldorf,Softwareentwickler / Autor
1517,Runge,Jasmin,NA,NA,https://www.facebook.com/profile.php?id=100012340418823,NA,NA,0,NA,1,294,Ravensburg,8,0,3,0,1993,Fronreute,Kalutara,Kinderpflegerin / Studentin
1518,Wellington,Claudio,NA,NA,https://www.facebook.com/wellington24.09/,https://www.facebook.com/claudio.wellington.50,https://twitter.com/WellingtonLINKE,0,NA,1,295,Zollernalb – Sigmaringen,8,0,3,1,1986,"St. Gallen, Schweiz",Villingen-Schwenningen,Vorsorgeberater
